Player,Tm,FTA,FT,freethowpercent
"Trae Young",ATL,546,484,0.8864
"Joel Embiid",PHI,548,471,0.8595
"Damian Lillard",POR,484,449,0.9277
"Bradley Beal",WAS,459,408,0.8889
"Giannis Antetokounmpo",MIL,581,398,0.6850
"DeMar DeRozan",SAS,440,387,0.8795
"Zion Williamson",NOP,529,369,0.6975
"Stephen Curry",GSW,395,362,0.9165
"Jimmy Butler",MIA,416,359,0.8630
"Julius Randle",NYK,429,348,0.8112
"Luka Doncic",DAL,471,344,0.7304
"Nikola Jokic",DEN,394,342,0.8680
"Devin Booker",PHO,392,340,0.8673
"Collin Sexton",CLE,383,312,0.8146
"De'Aaron Fox",SAC,417,300,0.7194
"Jayson Tatum",BOS,340,295,0.8676
"Jerami Grant",DET,343,290,0.8455
"Bam Adebayo",MIA,354,283,0.7994
"Brandon Ingram",NOP,320,281,0.8781
"Ja Morant",MEM,372,271,0.7285
"Russell Westbrook",WAS,413,271,0.6562
"Karl-Anthony Towns",MIN,311,267,0.8585
"Donovan Mitchell",UTA,316,267,0.8449
"Kawhi Leonard",LAC,295,261,0.8847
"Zach LaVine",CHI,298,253,0.8490
"Pascal Siakam",TOR,301,249,0.8272
"Domantas Sabonis",IND,328,240,0.7317
"Bojan Bogdanovic",UTA,265,233,0.8792
"Rudy Gobert",UTA,374,233,0.6230
"James Harden",BRK,263,225,0.8555
"James Harden",BRK,263,225,0.8555
"Khris Middleton",MIL,236,212,0.8983
"Anthony Edwards",MIN,272,211,0.7757
"Kevin Durant",BRK,238,210,0.8824
"Dennis Schroder",LAL,243,206,0.8477
"RJ Barrett",NYK,276,206,0.7464
"Kyrie Irving",BRK,218,201,0.9220
"Paul George",LAC,228,198,0.8684
"Harrison Barnes",SAC,235,195,0.8298
"Jaylen Brown",BOS,250,191,0.7640
"Shai Gilgeous-Alexander",OKC,229,185,0.8079
"Tobias Harris",PHI,204,182,0.8922
"Montrezl Harrell",LAL,256,181,0.7070
"LeBron James",LAL,255,178,0.6980
"Ben Simmons",PHI,287,176,0.6132
"John Collins",ATL,204,170,0.8333
"Andrew Wiggins",GSW,238,170,0.7143
"Chris Paul",PHO,181,169,0.9337
"Fred VanVleet",TOR,191,169,0.8848
"Terry Rozier",CHO,202,165,0.8168
"Danilo Gallinari",ATL,174,161,0.9253
"Dillon Brooks",MEM,195,159,0.8154
"Josh Jackson",DET,218,159,0.7294
"John Wall",HOU,211,158,0.7488
"Anthony Davis",LAL,214,158,0.7383
"Jarrett Allen",CLE,229,158,0.6900
"Jarrett Allen",CLE,229,158,0.6900
"Jonas Valanciunas",MEM,203,157,0.7734
"Gordon Hayward",CHO,185,156,0.8432
"Immanuel Quickley",NYK,174,155,0.8908
"Malcolm Brogdon",IND,177,153,0.8644
"Chris Boucher",TOR,193,152,0.7876
"Shake Milton",PHI,176,146,0.8295
"Dwayne Bacon",ORL,176,145,0.8239
"Keldon Johnson",SAS,196,145,0.7398
"Kyle Anderson",MEM,184,144,0.7826
"Tim Hardaway Jr",DAL,174,142,0.8161
"Norman Powell",TOR,163,141,0.8650
"Norman Powell",TOR,163,141,0.8650
"Kyle Lowry",TOR,160,140,0.8750
"Carmelo Anthony",POR,154,137,0.8896
"Richaun Holmes",SAC,170,135,0.7941
"Ivica Zubac",LAC,171,135,0.7895
"Kemba Walker",BOS,149,134,0.8993
"Eric Bledsoe",NOP,195,134,0.6872
"Jamal Murray",DEN,153,133,0.8693
"Devonte' Graham",CHO,158,133,0.8418
"Deandre Ayton",PHO,173,133,0.7688
"Ricky Rubio",MIN,150,130,0.8667
