Rk,Player,Pos,Tm,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA
1,"Precious Achiuwa",PF,MIA,61,737,124,228,0,1,124,227,56,110
3,"Steven Adams",C,NOP,58,1605,189,308,0,3,189,305,60,135
4,"Bam Adebayo",C,MIA,64,2143,456,800,2,8,454,792,283,354
5,"LaMarcus Aldridge",C,SAS,21,544,115,248,27,75,88,173,31,37
5,"LaMarcus Aldridge",C,SAS,21,544,115,248,27,75,88,173,31,37
7,"Nickeil Alexander-Walker",SG,NOP,46,1007,192,458,76,219,116,239,48,66
8,"Grayson Allen",SG,MEM,50,1259,173,414,107,274,66,140,79,91
9,"Jarrett Allen",C,CLE,51,1544,254,417,6,19,248,398,158,229
9,"Jarrett Allen",C,CLE,51,1544,254,417,6,19,248,398,158,229
11,"Kyle Anderson",PF,MEM,69,1887,308,658,94,261,214,397,144,184
12,"Giannis Antetokounmpo",PF,MIL,61,2013,626,1100,67,221,559,879,398,581
14,"Thanasis Antetokounmpo",SF,MIL,57,551,67,137,7,29,60,108,25,49
15,"Carmelo Anthony",PF,POR,69,1690,327,777,133,325,194,452,137,154
16,"Cole Anthony",PG,ORL,47,1273,219,552,58,172,161,380,109,131
17,"OG Anunoby",SF,TOR,43,1433,249,519,104,261,145,258,80,102
19,"Trevor Ariza",SF,MIA,30,841,99,241,50,143,49,98,34,44
20,"DJ Augustin",PG,MIL,37,713,71,192,49,129,22,63,36,40
20,"DJ Augustin",PG,MIL,37,713,71,192,49,129,22,63,36,40
21,"Deni Avdija",SF,WAS,54,1257,130,312,53,168,77,144,29,45
22,"Deandre Ayton",C,PHO,69,2115,430,687,4,20,426,667,133,173
24,"Dwayne Bacon",SG,ORL,72,1853,292,726,59,207,233,519,145,176
25,"Marvin Bagley III",PF,SAC,43,1112,247,490,37,108,210,382,77,134
26,"LaMelo Ball",PG,CHO,51,1469,293,672,92,261,201,411,125,165
27,"Lonzo Ball",PG,NOP,55,1747,290,700,172,455,118,245,50,64
28,"Mo Bamba",C,ORL,46,725,142,301,38,118,104,183,45,66
29,"Desmond Bane",SG,MEM,68,1519,234,499,117,271,117,228,40,49
30,"Harrison Barnes",PF,SAC,58,2102,319,642,100,256,219,386,195,235
31,"RJ Barrett",SG,NYK,72,2511,467,1060,124,309,343,751,206,276
32,"Will Barton",SF,DEN,56,1736,259,608,98,257,161,351,95,121
34,"Nicolas Batum",SF,LAC,67,1835,191,412,110,272,81,140,48,58
35,"Aron Baynes",C,TOR,53,980,134,304,27,103,107,201,29,41
36,"Kent Bazemore",SF,GSW,67,1333,176,392,75,184,101,208,54,78
37,"Darius Bazley",PF,OKC,55,1714,273,690,83,286,190,404,125,178
38,"Bradley Beal",SG,WAS,60,2147,670,1382,130,373,540,1009,408,459
39,"Malik Beasley",SG,MIN,37,1214,264,600,128,321,136,279,68,80
41,"DeAndre' Bembry",SF,TOR,51,972,117,228,14,53,103,175,45,66
42,"Davis Bertans",PF,WAS,57,1464,193,478,169,428,24,50,100,115
43,"Patrick Beverley",PG,LAC,37,832,93,220,56,141,37,79,36,45
44,"Saddiq Bey",SF,DET,70,1909,279,691,175,460,104,231,124,147
46,"Khem Birch",C,TOR,19,577,95,171,9,31,86,140,28,44
46,"Khem Birch",C,ORL,48,952,94,209,4,21,90,188,63,85
46,"Khem Birch",C,TOR,19,577,95,171,9,31,86,140,28,44
46,"Khem Birch",C,ORL,48,952,94,209,4,21,90,188,63,85
47,"Goga Bitadze",C,IND,45,561,83,194,20,79,63,115,45,61
48,"Bismack Biyombo",C,CHO,66,1349,142,242,0,1,142,241,47,105
50,"Eric Bledsoe",SG,NOP,71,2111,307,730,121,355,186,375,134,195
52,"Bogdan Bogdanovic",SG,ATL,44,1305,267,565,146,333,121,232,40,44
53,"Bojan Bogdanovic",SF,UTA,72,2216,406,925,180,461,226,464,233,265
58,"Devin Booker",SG,PHO,67,2270,623,1287,126,371,497,916,340,392
59,"Chris Boucher",C,TOR,60,1453,288,560,90,235,198,325,152,193
65,"Mikal Bridges",SF,PHO,72,2348,363,669,134,315,229,354,110,131
66,"Miles Bridges",PF,CHO,66,1932,313,622,116,290,197,332,98,113
68,"Oshae Brissett",SF,IND,21,519,73,151,33,78,40,73,50,65
69,"Malcolm Brogdon",PG,IND,56,1930,444,980,145,374,299,606,153,177
70,"Armoni Brooks",SG,HOU,20,520,78,192,60,157,18,35,7,12
71,"Dillon Brooks",SF,MEM,67,1997,432,1031,128,372,304,659,159,195
72,"Bruce Brown",PG,BRK,65,1451,235,423,17,59,218,364,86,117
74,"Jaylen Brown",SG,BOS,58,1999,538,1111,163,411,375,700,191,250
76,"Sterling Brown",SG,HOU,51,1229,150,335,91,215,59,120,25,31
78,"Jalen Brunson",PG,DAL,68,1697,328,627,81,200,247,427,120,151
81,"Reggie Bullock",SF,NYK,65,1949,248,561,163,398,85,163,50,55
82,"Trey Burke",PG,DAL,62,911,151,353,58,164,93,189,51,57
83,"Alec Burks",SG,NYK,49,1255,210,500,102,246,108,254,101,118
