Player,Tm,3PA,3P,threeptpercent
"Stephen Curry",GSW,801,337,0.4207
"Buddy Hield",SAC,721,282,0.3911
"Damian Lillard",POR,704,275,0.3906
"Duncan Robinson",MIA,613,250,0.4078
"Terry Rozier",CHO,571,222,0.3888
"Joe Harris",BRK,444,211,0.4752
"Jordan Clarkson",UTA,599,208,0.3472
"Tim Hardaway Jr",DAL,529,207,0.3913
"Zach LaVine",CHI,477,200,0.4193
"Luka Doncic",DAL,548,192,0.3504
"Jayson Tatum",BOS,485,187,0.3856
"Joe Ingles",UTA,406,183,0.4507
"Bojan Bogdanovic",UTA,461,180,0.3905
"Devonte' Graham",CHO,477,179,0.3753
"Donovan Mitchell",UTA,461,178,0.3861
"Danny Green",PHI,432,175,0.4051
"Saddiq Bey",DET,460,175,0.3804
"Fred VanVleet",TOR,476,174,0.3655
"Justin Holiday",IND,453,173,0.3819
"Lonzo Ball",NOP,455,172,0.3780
"Paul George",LAC,416,171,0.4111
"Anthony Edwards",MIN,520,171,0.3288
"Michael Porter Jr",DEN,382,170,0.4450
"CJ McCollum",POR,420,169,0.4024
"Davis Bertans",WAS,428,169,0.3949
"Reggie Bullock",NYK,398,163,0.4095
"Jaylen Brown",BOS,411,163,0.3966
"Coby White",CHI,454,163,0.3590
"Patty Mills",SAS,429,161,0.3753
"Julius Randle",NYK,389,160,0.4113
"Bryn Forbes",MIL,341,154,0.4516
"Kyrie Irving",BRK,378,152,0.4021
"Khris Middleton",MIL,365,151,0.4137
"Jae Crowder",PHO,380,148,0.3895
"Bogdan Bogdanovic",ATL,333,146,0.4384
"Malcolm Brogdon",IND,374,145,0.3877
"Brandon Ingram",NOP,375,143,0.3813
"Marcus Morris",LAC,296,140,0.4730
"Andrew Wiggins",GSW,368,140,0.3804
"Kevin Huerter",ATL,386,140,0.3627
"Mike Conley",UTA,335,138,0.4119
"Kyle Kuzma",LAL,380,137,0.3605
"Trae Young",ATL,397,136,0.3426
"Robert Covington",POR,356,135,0.3792
"Mikal Bridges",PHO,315,134,0.4254
"Carmelo Anthony",POR,325,133,0.4092
"Kyle Lowry",TOR,331,131,0.3958
"Donte DiVincenzo",MIL,346,131,0.3786
"Bradley Beal",WAS,373,130,0.3485
"Jamal Murray",DEN,316,129,0.4082
"Landry Shamet",BRK,333,129,0.3874
"Malik Beasley",MIN,321,128,0.3988
"Dillon Brooks",MEM,372,128,0.3441
"Kemba Walker",BOS,353,127,0.3598
"Seth Curry",PHI,280,126,0.4500
"Devin Booker",PHO,371,126,0.3396
"Georges Niang",UTA,292,124,0.4247
"RJ Barrett",NYK,309,124,0.4013
"Reggie Jackson",LAC,282,122,0.4326
"Karl-Anthony Towns",MIN,315,122,0.3873
"Kendrick Nunn",MIA,320,122,0.3813
"Tyrese Haliburton",SAC,296,121,0.4088
"Gary Trent Jr",POR,305,121,0.3967
"Gary Trent Jr",POR,305,121,0.3967
"Eric Bledsoe",NOP,355,121,0.3408
"Anfernee Simons",POR,282,120,0.4255
"Kentavious Caldwell-Pope",LAL,293,120,0.4096
"D'Angelo Russell",MIN,310,120,0.3871
"Lauri Markkanen",CHI,296,119,0.4020
"Dorian Finney-Smith",DAL,302,119,0.3940
"Norman Powell",TOR,269,118,0.4387
"Norman Powell",TOR,269,118,0.4387
"Immanuel Quickley",NYK,303,118,0.3894
"Desmond Bane",MEM,271,117,0.4317
"Nikola Vucevic",ORL,288,117,0.4063
"Nikola Vucevic",ORL,288,117,0.4063
"Cameron Johnson",PHO,335,117,0.3493
"Wayne Ellington",DET,275,116,0.4218
"Miles Bridges",CHO,290,116,0.4000
"Jerami Grant",DET,329,115,0.3495
"Luguentz Dort",OKC,329,113,0.3435
