Player,Tm,2PA,2P,twoptpercent
"Nikola Jokic",DEN,1056,640,0.6061
"Zion Williamson",NOP,1003,624,0.6221
"Giannis Antetokounmpo",MIL,879,559,0.6359
"Bradley Beal",WAS,1009,540,0.5352
"Devin Booker",PHO,916,497,0.5426
"Russell Westbrook",WAS,965,458,0.4746
"Luka Doncic",DAL,803,455,0.5666
"Bam Adebayo",MIA,792,454,0.5732
"Julius Randle",NYK,932,442,0.4742
"DeMar DeRozan",SAS,846,436,0.5154
"Domantas Sabonis",IND,742,432,0.5822
"Collin Sexton",CLE,841,427,0.5077
"Deandre Ayton",PHO,667,426,0.6387
"De'Aaron Fox",SAC,790,426,0.5392
"Jonas Valanciunas",MEM,686,419,0.6108
"Jayson Tatum",BOS,833,418,0.5018
"Joel Embiid",PHI,745,403,0.5409
"Kyrie Irving",BRK,708,397,0.5607
"Rudy Gobert",UTA,575,391,0.6800
"Tobias Harris",PHI,716,391,0.5461
"Dejounte Murray",SAS,775,378,0.4877
"Montrezl Harrell",LAL,593,375,0.6324
"Jaylen Brown",BOS,700,375,0.5357
"Brandon Ingram",NOP,726,370,0.5096
"Zach LaVine",CHI,646,369,0.5712
"Andrew Wiggins",GSW,690,365,0.5290
"Richaun Holmes",SAC,564,364,0.6454
"Kawhi Leonard",LAC,654,364,0.5566
"Pascal Siakam",TOR,715,364,0.5091
"Khris Middleton",MIL,709,360,0.5078
"Thaddeus Young",CHI,617,358,0.5802
"Ja Morant",MEM,716,357,0.4986
"Trae Young",ATL,715,351,0.4909
"John Collins",ATL,563,346,0.6146
"RJ Barrett",NYK,751,343,0.4567
"Jimmy Butler",MIA,634,341,0.5379
"Enes Kanter",POR,557,338,0.6068
"Chris Paul",PHO,621,337,0.5427
"Anthony Edwards",MIN,691,334,0.4834
"Damian Lillard",POR,630,327,0.5190
"Ben Simmons",PHI,573,322,0.5620
"Stephen Curry",GSW,564,321,0.5691
"Nikola Vucevic",ORL,620,319,0.5145
"Nikola Vucevic",ORL,620,319,0.5145
"LeBron James",LAL,538,318,0.5911
"Dillon Brooks",MEM,659,304,0.4613
"Jrue Holiday",MIL,540,303,0.5611
"Karl-Anthony Towns",MIN,560,303,0.5411
"Donovan Mitchell",UTA,630,300,0.4762
"Malcolm Brogdon",IND,606,299,0.4934
"Terry Rozier",CHO,563,288,0.5115
"Jerami Grant",DET,603,285,0.4726
"Keldon Johnson",SAS,524,278,0.5305
"Anthony Davis",LAL,513,275,0.5361
"Paul George",LAC,537,274,0.5102
"Michael Porter Jr",DEN,435,273,0.6276
"Rui Hachimura",WAS,511,265,0.5186
"Robin Lopez",WAS,407,264,0.6486
"Dennis Schroder",LAL,548,261,0.4763
"TJ McConnell",IND,442,259,0.5860
"Darius Garland",CLE,536,257,0.4795
"Ivica Zubac",LAC,390,256,0.6564
"Jae'Sean Tate",HOU,430,256,0.5953
"Christian Wood",HOU,434,252,0.5806
"Jordan Clarkson",UTA,476,249,0.5231
"Jamal Murray",DEN,476,249,0.5231
"Jarrett Allen",CLE,398,248,0.6231
"Jarrett Allen",CLE,398,248,0.6231
"Jalen Brunson",DAL,427,247,0.5785
"Doug McDermott",IND,379,243,0.6412
"Naz Reid",MIN,407,243,0.5971
"Elfrid Payton",NYK,524,241,0.4599
"Kevin Durant",BRK,414,239,0.5773
"Bobby Portis",MIL,441,239,0.5420
"Brandon Clarke",MEM,418,236,0.5646
"CJ McCollum",POR,464,236,0.5086
"Mason Plumlee",DET,374,234,0.6257
"Dwayne Bacon",ORL,519,233,0.4489
"Mikal Bridges",PHO,354,229,0.6469
"Shake Milton",PHI,464,229,0.4935
"Kristaps Porzingis",DAL,425,228,0.5365
"Kelly Oubre Jr",GSW,439,228,0.5194
"Brook Lopez",MIL,359,227,0.6323
"Gordon Hayward",CHO,453,226,0.4989
"Bojan Bogdanovic",UTA,464,226,0.4871
"Harrison Barnes",SAC,386,219,0.5674
"Josh Jackson",DET,450,219,0.4867
"Bruce Brown",BRK,364,218,0.5989
"Shai Gilgeous-Alexander",OKC,395,216,0.5468
"Kyle Anderson",MEM,397,214,0.5390
"John Wall",HOU,477,214,0.4486
"Coby White",CHI,448,212,0.4732
"Marvin Bagley III",SAC,382,210,0.5497
"Caris LeVert",IND,419,210,0.5012
"Caris LeVert",IND,419,210,0.5012
"Isaiah Stewart",DET,346,205,0.5925
"Patrick Williams",CHI,390,201,0.5154
"LaMelo Ball",CHO,411,201,0.4891
"Tim Hardaway Jr",DAL,382,200,0.5236
"Tyler Herro",MIA,402,200,0.4975
"Chris Boucher",TOR,325,198,0.6092
"Kyle Kuzma",LAL,377,198,0.5252
"Miles Bridges",CHO,332,197,0.5934
"Kendrick Nunn",MIA,338,197,0.5828
"Carmelo Anthony",POR,452,194,0.4292
"DeAndre Jordan",BRK,248,190,0.7661
"PJ Washington",CHO,396,190,0.4798
"Darius Bazley",OKC,404,190,0.4703
"Steven Adams",NOP,305,189,0.6197
"Talen Horton-Tucker",LAL,358,187,0.5223
"Robert Williams",BOS,256,186,0.7266
"James Harden",BRK,337,186,0.5519
"James Harden",BRK,337,186,0.5519
"Eric Bledsoe",NOP,375,186,0.4960
"Andre Drummond",CLE,372,180,0.4839
"Andre Drummond",CLE,372,180,0.4839
"James Wiseman",GSW,330,179,0.5424
"Cody Zeller",CHO,296,177,0.5980
"Kevin Huerter",ATL,345,176,0.5101
"Josh Richardson",DAL,351,176,0.5014
"Isaiah Roby",OKC,320,175,0.5469
"Dwight Howard",PHI,283,173,0.6113
"Isaac Okoro",CLE,345,173,0.5014
"Tyrese Haliburton",SAC,323,171,0.5294
"Nikola Vucevic",CHI,336,171,0.5089
"Nikola Vucevic",CHI,336,171,0.5089
"Derrick Rose",NYK,337,171,0.5074
"Derrick Rose",NYK,337,171,0.5074
"Jaxson Hayes",NOP,266,169,0.6353
"Tristan Thompson",BOS,323,169,0.5232
"Kenrich Williams",OKC,294,167,0.5680
"Tyrese Maxey",PHI,326,167,0.5123
"Terrence Ross",ORL,352,165,0.4688
"Norman Powell",TOR,297,164,0.5522
"Norman Powell",TOR,297,164,0.5522
"Fred VanVleet",TOR,394,164,0.4162
"Alex Len",WAS,249,161,0.6466
"Alex Len",WAS,249,161,0.6466
"D'Angelo Russell",MIN,342,161,0.4708
"Will Barton",DEN,351,161,0.4587
"Cole Anthony",ORL,380,161,0.4237
"Jusuf Nurkic",POR,303,159,0.5248
"Jeff Green",BRK,280,158,0.5643
"Rudy Gay",SAS,350,158,0.4514
"Kemba Walker",BOS,323,157,0.4861
"Lonnie Walker",SAS,327,156,0.4771
"Derrick Favors",UTA,241,155,0.6432
