Tm,sum(3P),sum(2P),sum(FT)
ATL,882,1582,1249
BOS,936,1982,1174
BRK,1075,2069,1403
CHI,979,2404,1104
CHO,977,1812,1087
CLE,732,2444,1385
DAL,965,1862,1119
DEN,873,2101,1079
DET,901,1874,1309
GSW,1032,1937,1212
HOU,1079,2009,1321
IND,896,2262,1226
LAC,1008,1977,1184
LAL,731,1939,1143
MEM,745,2188,1089
MIA,957,1861,1168
MIL,989,2077,1117
MIN,931,1913,1226
NOP,795,2351,1408
NYK,798,1983,1178
OKC,897,1816,1018
ORL,989,2525,1448
PHI,748,2017,1333
PHO,900,2098,1066
POR,1314,2019,1406
SAC,917,2139,1140
SAS,701,1960,1127
TOR,1090,1988,1365
UTA,1148,1685,1184
WAS,656,2227,1349
